SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
572,28/11/2016,Kloseby,Consumer Internet,proximity based  Rewards platform,Seed Funding,,"100,000"
573,28/11/2016,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,Private Equity,,"2,000,000"
574,29/11/2016,Crossahead,Consumer Internet,Creative Artists Discovery & Booking platform,Seed Funding,,
575,29/11/2016,Affordplan,Consumer Internet,Savings platform for Medical Expenses,Private Equity,,"3,000,000"
576,30/11/2016,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,Private Equity,,"1,000,000"
577,30/11/2016,ShopsUp,eCommerce,Hyperlocal Shopping App,Seed Funding,,"963,000"
578,30/11/2016,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,Seed Funding,,"150,000"
579,30/11/2016,Entropika,Technology,"AI, Machine learning Solutions",Seed Funding,,"200,000"
580,30/11/2016,MarianaIQ,Technology,AI-driven B2B marketing platform,Private Equity,,"2,000,000"
581,30/11/2016,Chai Thela,Food & Beverage,Quick Service Restaurants,Seed Funding,,"218,000"
582,30/11/2016,Interviewpad,Technology,Engineering Interview facilitation platform,Seed Funding,,"100,000"
583,30/11/2016,Math Buddy,Consumer Internet,Online Math Learn,Seed Funding,,"440,000"
584,30/11/2016,Pulse,Consumer Internet,Campus Social Networking App,Private Equity,,"500,000"
585,30/11/2016,MonkeyBox,Consumer Internet,Healthy Food Delivery platform,Seed Funding,,
586,30/11/2016,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Seed Funding,,"500,000"
587,3/10/2016,MeraKisan,eCommerce,Fruit & vegetable eTailer,Seed Funding,,
588,3/10/2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,Private Equity,,"5,000,000"
589,3/10/2016,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Private Equity,,
590,3/10/2016,Uniphore,Technology,Speech Recognition Solutions,Private Equity,,"2,000,000"
591,3/10/2016,World Art Community,eCommerce,Art & Craft Marketplace,Seed Funding,,"200,000"
592,4/10/2016,Giftxoxo,eCommerce,Online Gifting platform,Private Equity,,"450,000"
593,4/10/2016,Bharat Bazaar,eCommerce,Online B2B Marketplace,Seed Funding,,
594,4/10/2016,GOQii,Consumer Internet,Health & Fitness Wearable Device,Private Equity,,
595,4/10/2016,India Gifts Portal,eCommerce,Online Gifting platform,Private Equity,,"2,000,000"
