SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
636,18/10/2016,BabyChakra,Consumer Internet,Parenting and Child Care portal,Private Equity,,
637,18/10/2016,Coppre,eCommerce,Copper based items etailer,Seed Funding,,
638,18/10/2016,MySUN,Technology,Solar Energy harnessing products marketplace,Private Equity,,"2,500,000"
639,18/10/2016,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Seed Funding,,
640,19/10/2016,Furlenco,Consumer Internet,Online Furniture Rental platform,Private Equity,,"30,000,000"
641,19/10/2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Private Equity,,"1,100,000"
642,19/10/2016,Actofit,Technology,Wearable Technology platform & devices,Private Equity,,"750,000"
643,20/10/2016,Stayology,Consumer Internet,Stay & Travel related services,Seed Funding,,
644,20/10/2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Seed Funding,,
645,20/10/2016,RailYatri,Consumer Internet,Train Travel Info mobile app,Private Equity,,
646,21/10/2016,ChatOnGo,Consumer Internet,Hyperlocal  Communication Mobile app,Seed Funding,,"300,000"
647,23/10/2016,WOTU,eCommerce,B2B Marketplace for traders,Seed Funding,,
648,24/10/2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Private Equity,,"3,000,000"
649,24/10/2016,Box8,Consumer Internet,Online Food Ordering platform/App,Private Equity,,"7,500,000"
650,25/10/2016,Kredx,eCommerce,Invoice discounting marketplace,Private Equity,,"6,000,000"
651,25/10/2016,CreditMate,Consumer Internet,Credit Report Info platform,Seed Funding,,"500,000"
652,25/10/2016,Pickrr,Technology,Courier Logistics & Order management Solutions,Seed Funding,,
653,25/10/2016,SatvaKart,eCommerce,Online Grocery Etailer,Seed Funding,,
654,25/10/2016,SooperMO,Technology,Android utility app suite creator,Seed Funding,,"100,000"
655,26/10/2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,Seed Funding,,"1,000,000"
656,26/10/2016,Wooplr,Consumer Internet,Fashion Discovery App,Seed Funding,,
657,26/10/2016,The Kettlery,eCommerce,Online Tea Etailer,Private Equity,,"1,000,000"
658,27/10/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Private Equity,,"700,000"
659,27/10/2016,FR8,Technology,Truck Fleet Operation platform,Private Equity,,"971,000"
660,27/10/2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Private Equity,,"27,000,000"
661,28/10/2016,Pikkol,Logistics,Relocation Service provider,Seed Funding,,
662,29/10/2016,Velmenni,Technology,LiFi based wireless communication provider,Seed Funding,,"100,000"
663,29/10/2016,Volta Motors,Technology,Electric Bike Manufacturer,Seed Funding,,"100,000"
664,29/10/2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Seed Funding,,"100,000"
665,30/10/2016,Impact Analytics,Technology,Business intelligence and data science Startup,Private Equity,,"750,000"
666,31/10/2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Seed Funding,,"1,000,000"
667,1/9/2016,Mad Street Den,Technology,Artificial Intelligence platform,Private Equity,,
668,1/9/2016,Mihup,Technology,Personal Digital Assistant,Private Equity,,"6,700,000"
669,1/9/2016,Renowala,eCommerce,Home Improvement Marketplace,Seed Funding,,
670,1/9/2016,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,Seed Funding,,
671,4/9/2016,Trackbizz,Technology,Field Force Automation System,Private Equity,,
672,5/9/2016,Social Quotient,Technology,Platform for Social Causes,Seed Funding,,
673,5/9/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,Seed Funding,,
674,6/9/2016,eShakti,eCommerce,Women’s Fashion Apparel eTailer,Private Equity,,"1,350,000"
675,6/9/2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Seed Funding,,"500,000"
676,6/9/2016,Lenskart,eCommerce,Online Eyewear eTailer,Private Equity,,
677,6/9/2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Private Equity,,"900,000"
678,7/9/2016,Zilingo,eCommerce,Online Fashion Retailer,Private Equity,,"8,000,000"
679,7/9/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,Seed Funding,,"500,000"
680,7/9/2016,Simplilearn,Education,Online Certification programs,Private Equity,,"6,000,000"
681,7/9/2016,Prozo,eCommerce,Study Material Marketplace,Seed Funding,,"315,000"
682,8/9/2016,TopRankers,Education,Online Test Preparation platform,Seed Funding,,"670,000"
683,8/9/2016,BuildTraders,eCommerce,Online Construction Materials Marketplace,Seed Funding,,"200,000"
684,9/9/2016,Byju’s,Education,Online Learning App,Private Equity,,"50,000,000"
685,9/9/2016,NoBroker,Consumer Internet,Online Home Rental platform,Seed Funding,,
686,10/9/2016,Freshboxx,eCommerce,Fruits & vegetable eTailer,Seed Funding,,
687,10/9/2016,CureInstant,Consumer Internet,Social Health Networking Platform,Seed Funding,,"150,000"
688,10/9/2016,Poshtic,Consumer Internet,Online health & Wellness platform,Seed Funding,,"450,000"
689,10/9/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Seed Funding,,
690,12/9/2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Seed Funding,,"448,000"
691,12/9/2016,Inuxu,Technology,Online Advertising Solutions,Private Equity,,"3,000,000"
692,12/9/2016,Nykaa,eCommerce,Online Beauty products eTailer,Private Equity,,"12,300,000"
693,12/9/2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Seed Funding,,"300,000"
694,13/9/2016,Findow,Consumer Internet,Fashion Discovery Mobile app,Seed Funding,,
695,13/9/2016,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,Seed Funding,,
696,13/9/2016,ShoeKonnect,eCommerce,Footwear & Leather B2B App,Seed Funding,,
697,13/9/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Private Equity,,"2,500,000"
698,14/9/2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,Seed Funding,,
699,14/9/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Seed Funding,,"150,000"
700,14/9/2016,LensPick,eCommerce,eyewear eTailer,Private Equity,,
701,15/9/2016,infeedo,Consumer Internet,Employee engagement platform,Seed Funding,,"200,000"
702,15/9/2016,Furlenco,eCommerce,Online furniture rental startup,Private Equity,,"5,000,000"
703,15/9/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Private Equity,,"1,500,000"
704,16/9/2016,NewsDistill,Consumer Internet,City based News Aggregator App,Seed Funding,,"100,000"
705,16/9/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Private Equity,,"1,000,000"
706,19/9/2016,Milofy,Consumer Internet,Couple Socialization App,Seed Funding,,"750,000"
707,19/9/2016,Liqvid,Technology,Integrated eLearning content solutions,Private Equity,,
708,19/9/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Private Equity,,"15,000,000"
709,20/9/2016,Codemojo,Consumer Internet,Customer Engagement Platform,Seed Funding,,
710,20/9/2016,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,Seed Funding,,"500,000"
711,20/9/2016,JoeHukum,Technology,Enterprise customer engagement solutions,Seed Funding,,
712,21/9/2016,Co Life,Consumer Internet,shared living and working spaces platform,Seed Funding,,"1,000,000"
713,21/9/2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,Seed Funding,,
714,21/9/2016,Pepperfry,eCommerce,Furniture eTailer,Private Equity,,"31,300,000"
715,21/9/2016,eQuickies,eCommerce,Online Book etailer,Seed Funding,,"298,000"
716,21/9/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,Seed Funding,,"350,000"
717,22/9/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,Private Equity,,"6,000,000"
718,22/9/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Private Equity,,
719,22/9/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Seed Funding,,"425,000"
720,22/9/2016,HashTaag,Technology,Mobile App Development company,Seed Funding,,"1,000,000"
721,22/9/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Private Equity,,"745,000"
722,23/9/2016,CloudCherry,Technology,CRM SAAS Platform,Private Equity,,"6,000,000"
723,23/9/2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Seed Funding,,
724,23/9/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Seed Funding,,
725,23/9/2016,inMotion,Technology,Financial platform for daily wage earning communities,Seed Funding,,
726,26/9/2016,Let’s Barter,Consumer Internet,Goods & Services Barter Platform,Seed Funding,,
727,26/9/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Private Equity,,
728,27/9/2016,TinyStep,Consumer Internet,Parenting Network Platform,Private Equity,,"1,580,000"
729,27/9/2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Seed Funding,,
730,28/9/2016,Beardo,eCommerce,Mens Grooming products etailer,Seed Funding,,"500,000"
731,28/9/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Seed Funding,,"1,000,000"
732,28/9/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Seed Funding,,"1,000,000"
733,28/9/2016,Druva,Technology,Cloud Based Data Protection Solution,Private Equity,,"51,000,000"
734,29/9/2016,Promon,eCommerce,Local Commerce Platform,Seed Funding,,"180,000"
735,29/9/2016,Fastudent,eCommerce,Education eCommerce platform,Seed Funding,,
736,29/9/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Private Equity,,"1,500,000"
737,30/9/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Seed Funding,,
738,30/9/2016,Zeta,Technology,Enterprise Cloud Solutions,Private Equity,,"19,000,000"
739,30/9/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Seed Funding,,
740,1/8/2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Private Equity,,"12,000,000"
741,1/8/2016,Medinfi,Consumer Internet,Doctor & Clinic  Discovery Platform,Seed Funding,,"200,000"
742,1/8/2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Seed Funding,,"275,000"
743,1/8/2016,Voonik,eCommerce,Online Women’s Fashion Marketplace,Private Equity,,"3,000,000"
744,1/8/2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Private Equity,,"2,500,000"
745,2/8/2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Private Equity,,"1,800,000"
746,2/8/2016,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Seed Funding,,
747,2/8/2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Seed Funding,,"1,000,000"
748,3/8/2016,Xcode,Healthcare,Personal Genomics,Private Equity,,
749,3/8/2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Seed Funding,,"225,000"
750,3/8/2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Seed Funding,,"890,000"
751,4/8/2016,Petoo,Consumer Internet,Food Delivery Platform,Seed Funding,,"500,000"
752,4/8/2016,lehlehsports,Others,Sports Arena discovery,Seed Funding,,
753,5/8/2016,Tricog,Healthcare,Healthcare Analytics Platform,Private Equity,,
754,6/8/2016,VST Travels,Technology,Travel Ticket Booking Software,Seed Funding,,"27,000"
755,8/8/2016,AdPushUp,Technology,Ad optimization Platform,Private Equity,,
756,8/8/2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Seed Funding,,"40,000"
757,8/8/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Seed Funding,,"445,000"
758,8/8/2016,Zipgrid,Consumer Internet,Community services platform,Seed Funding,,"200,000"
759,9/8/2016,MobiDent,Healthcare,Dental Protection Solution,Seed Funding,,
760,9/8/2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,Seed Funding,,
761,10/8/2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Seed Funding,,"500,000"
762,10/8/2016,Bombay Shaving Company,eCommerce,Men’s Grooming Product etailer,Seed Funding,,"600,000"
763,11/8/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Private Equity,,"7,000,000"
764,11/8/2016,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Private Equity,,
765,11/8/2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Seed Funding,,"209,000"
766,11/8/2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Private Equity,,"15,000,000"
767,12/8/2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Private Equity,,"1,500,000"
768,12/8/2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Private Equity,,"1,500,000"
769,12/8/2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Private Equity,,"15,600,000"
770,12/8/2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Seed Funding,,"500,000"
771,12/8/2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,Seed Funding,,
772,15/08/2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Seed Funding,,
773,16/08/2016,Zappfresh,ECommerce,Raw Meat Products eTailer,Seed Funding,,
774,16/08/2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,Private Equity,,"62,000,000"
775,16/08/2016,Hike,Consumer Internet,Mobile Messaging App,Private Equity,,"175,000,000"
776,16/08/2016,Joolz,eCommerce,Online Jewellery Store,Private Equity,,"500,000"
777,16/08/2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Private Equity,,"1,500,000"
778,16/08/2016,Makkajai,Technology,Online & Mobile learning for kids,Seed Funding,,"250,000"
779,16/08/2016,Gradopedia,Consumer Internet,Career progression Portal,Seed Funding,,
780,17/08/2016,MaalGaadi,Logistics,Online Logistics Marketplace,Seed Funding,,"375,000"
781,17/08/2016,ZiPi,Technology,Mobile Chatbot App,Seed Funding,,
782,17/08/2016,Appknox,Technology,Mobile security solutions,Private Equity,,"675,000"
783,17/08/2016,Pikkol,Logistics,Packers & Movers,Seed Funding,,
784,18/08/2016,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Seed Funding,,
785,18/08/2016,Sesame Software,Technology,Financial Technology Solutions Provider,Private Equity,,
786,19/08/2016,Quikr,Consumer Internet,Classified Listings platform,Private Equity,,"20,000,000"
787,19/08/2016,Digio,Technology,Aadhar based Document Signing platform,Private Equity,,"375,000"
788,19/08/2016,Ziffity,Technology,Full Service Ecommerce Agency,Private Equity,,
789,22/08/2016,Zzungry,Consumer Internet,Food Delivery platform,Seed Funding,,
790,22/08/2016,Puro Wellness,healthcare,"Organic,  Natural  Food substitute manufacturer",Private Equity,,"37,000,000"
791,22/08/2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Private Equity,,
792,23/08/2016,TAC Security,Technology,Cyber-Security Solutions Provider,Seed Funding,,
793,23/08/2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,Seed Funding,,"100,000"
794,23/08/2016,NearU,Consumer Internet,Marketing app for retailers,Seed Funding,,
795,23/08/2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,Seed Funding,,"200,000"
796,24/08/2016,ShaadiSaga,Consumer Internet,Wedding Website Creator,Seed Funding,,
797,24/08/2016,UnaAcademy,Consumer Internet,Free Interactive education platform,Private Equity,,"1,000,000"
798,24/08/2016,Advenio,Technology,Clinical Imaging Solution Provider,Seed Funding,,"100,000"
799,24/08/2016,Guarented,eCommerce,Home Furnishing rental marketplace,Seed Funding,,"500,000"
800,24/08/2016,Beyond Evolution,Technology,Mobile Apps & Tech Services provider,Seed Funding,,
801,24/08/2016,Uber Dreams,eCommerce,Dreams fulfilling marketplace,Seed Funding,,"500,000"
802,24/08/2016,Convegenius,Education,Edutainment platform,Private Equity,,"900,000"
803,24/08/2016,UrbanLadder,eCommerce,Online Furniture Store,Private Equity,,"3,000,000"
804,24/08/2016,enCashea,Consumer Internet,Scrap Collection and Recycling platform,Seed Funding,,
805,25/08/2016,EngineerBabu,Technology,Mobile App & Web Development company,Seed Funding,,
806,25/08/2016,Cult,Healthcare,Health and Fitness Centres,Private Equity,,"3,000,000"
807,25/08/2016,WitWorks,Technology,Consumer IoT Startup,Seed Funding,,
808,25/08/2016,NearFox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Seed Funding,,
809,25/08/2016,ZoomCar,Consumer Internet,Self-driven car booking platform,Private Equity,,"24,000,000"
810,26/08/2016,Plix,Consumer Internet,Photo and Video Sharing App,Seed Funding,,"500,000"
811,26/08/2016,Mobikwik,Consumer Internet,Digital Wallet platform,Private Equity,,"40,000,000"
812,26/08/2016,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Seed Funding,,"550,000"
813,26/08/2016,CrownIt,Consumer Internet,Cashback Mobile app,Seed Funding,,
814,29/08/2016,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Private Equity,,"3,000,000"
815,29/08/2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Private Equity,,"7,000,000"
816,29/08/2016,Zolo,Consumer Internet,on-demand online talent marketplace,Private Equity,,
817,29/08/2016,Notion Press,Consumer Internet,Self-Publishing books platform,Private Equity,,"1,000,000"
818,29/08/2016,LivSpace,Consumer Internet,Online portal for Home Design,Private Equity,,"15,000,000"
819,30/8/2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Seed Funding,,"149,000"
820,30/8/2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,Seed Funding,,"104,000"
821,30/8/2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Private Equity,,"60,000,000"
822,30/8/2016,CropIn,Technology,Agriculture Technology Solutions,Private Equity,,"2,000,000"
823,30/8/2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Private Equity,,"3,000,000"
824,30/8/2016,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Private Equity,,
825,31/8/2016,Flyrobe,eCommerce,Online fashion rental platform,Private Equity,,"5,300,000"
826,31/8/2016,inclov,Consumer Internet,Matchmaking App for Disabled,Seed Funding,,
827,1/7/2016,RazorPay,Consumer Internet,Online Payment Gateway,Private Equity,,
828,1/7/2016,DarwinBox,Technology,HR Software Services Startup,Seed Funding,,
829,1/7/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Seed Funding,,"500,000"
830,1/7/2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,Private Equity,,
831,2/7/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Private Equity,,"700,000"
832,4/7/2016,WealthTrust,Consumer Internet,Wealth Management App,Seed Funding,,
833,4/7/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Private Equity,,"15,000,000"
834,4/7/2016,StitchWood,eCommerce,Custom Furniture Online,Seed Funding,,"200,000"
835,4/7/2016,Grab.in,Logistics,hyperlocal logistics service,Private Equity,,"2,000,000"
836,4/7/2016,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,Seed Funding,,
837,4/7/2016,NeoGrowth,Finance,SME Lending platform,Private Equity,,"16,000,000"
838,5/7/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Private Equity,,"1,000,000"
839,5/7/2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Private Equity,,"82,000,000"
840,5/7/2016,Flyrobe,eCommerce,Online fashion rental platform,Seed Funding,,"1,700,000"
841,6/7/2016,HappilyUnmarried,eCommerce,Online Merchandize etailer,Private Equity,,"740,000"
842,6/7/2016,Don’t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Seed Funding,,"250,000"
843,6/7/2016,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Seed Funding,,"297,000"
844,7/7/2016,AppDaily,Technology,Mobile Security App development & Distribution,Private Equity,,"2,000,000"
845,7/7/2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,Private Equity,,"1,000,000"
846,7/7/2016,Quickli,Logistics,On-Demand Delivery Startup,Private Equity,,
847,7/7/2016,SpectraVR,Technology,Virtual Reality Content Studio,Seed Funding,,
848,8/7/2016,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Seed Funding,,
849,8/7/2016,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Private Equity,,"1,950,000"
850,11/7/2016,Purplle,eCommerce,Beauty Products Marketplace,Private Equity,,"6,000,000"
851,11/7/2016,Trak N Tell,Technology,Car Tracking & Safety System,Private Equity,,"3,500,000"
852,11/7/2016,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Private Equity,,"3,000,000"
853,12/7/2016,SirionLabs,Technology,SAAS based Service Agreement Management,Private Equity,,"12,250,000"
854,12/7/2016,GyanDhan,Consumer Internet,Education Focused Financing Platform,Seed Funding,,
855,12/7/2016,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Private Equity,,
856,12/7/2016,HitGrit,Consumer Internet,Online Legal Consultation platform,Seed Funding,,
857,12/7/2016,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,Seed Funding,,
858,13/07/2016,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",Private Equity,,"5,000,000"
859,13/07/2016,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Seed Funding,,
860,13/07/2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Seed Funding,,"600,000"
861,13/07/2016,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Private Equity,,"1,350,000"
862,13/07/2016,Urban Tailor,Consumer Internet,E-Tailoring service provider,Private Equity,,
863,13/07/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,Private Equity,,"5,000,000"
864,13/07/2016,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Seed Funding,,
865,13/07/2016,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Seed Funding,,
866,14/07/2016,Augrav,eCommerce,Personalized precious Jewellery etailer,Seed Funding,,"450,000"
867,14/07/2016,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Private Equity,,"1,070,000"
868,14/07/2016,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,Private Equity,,
869,15/07/2016,WorkApps,Technology,Enterprise Work Management Software,Seed Funding,,"1,000,000"
870,15/07/2016,BankerBay,Consumer Internet,Online Investment Banking platform,Private Equity,,"2,000,000"
871,15/07/2016,BaggOut,eCommerce,Women’s Fashion etailer,Seed Funding,,
872,15/07/2016,TripShelf,eCommerce,Travel Package Marketplace,Seed Funding,,"250,000"
873,15/07/2016,SatvaCart,eCommerce,Online Grocers,Seed Funding,,
874,15/07/2016,Ridlr,Consumer Internet,Public Transport Mobile App,Private Equity,,"6,000,000"
875,18/07/2016,Yellowdig,Consumer Internet,Online Learning Platform,Seed Funding,,"650,000"
876,18/07/2016,Zuppler,Consumer Internet,Online Food Ordering platform,Seed Funding,,"650,000"
877,18/07/2016,BlueStone,eCommerce,Jewellery Etailer,Private Equity,,"30,000,000"
878,18/07/2016,underDOGS,Technology,Game Development Startup,Private Equity,,
879,18/07/2016,ImageProVision,Technology,Image Analysis Solutions,Seed Funding,,
880,19/07/2016,Sagacito,Technology,Cloud-Based Enterprise Solutions,Private Equity,,"10,000,000"
881,19/07/2016,Deal4Loans / Wishfin,Consumer Internet,Loans Comparison platform,Private Equity,,"15,000,000"
882,19/07/2016,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Private Equity,,"1,000,000"
883,19/07/2016,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Seed Funding,,"250,000"
884,20/07/2016,Tax2Win,Consumer Internet,Online Tax Filing Portal,Private Equity,,"1,000,000"
885,20/07/2016,Truckola,Logistics,Tech-focused cargo transport startup,Seed Funding,,"595,000"
886,20/07/2016,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Seed Funding,,
887,21/07/2016,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,Private Equity,,"1,000,000"
888,21/07/2016,AbeRuk,eCommerce,Online Marketplace for books,Seed Funding,,
889,21/07/2016,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Seed Funding,,"595,000"
890,21/07/2016,Drums Food,Food & Beverage,Yogurt and Ice Cream maker,,,
891,1/6/2016,Chikoop,Consumer Internet,Free Ad based Voice Calling,Seed Funding,,
892,1/6/2016,BRIDGEi2I,Technology,Data Analytics Platform,Private Equity,,
893,2/6/2016,Droom,eCommerce,Online marketplace for used automobiles,Private Equity,,
894,2/6/2016,Visit,Consumer Internet,On-Demand Healthcare Service provider,Seed Funding,,
895,2/6/2016,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Private Equity,,"1,000,000"
896,2/6/2016,Coutloot,eCommerce,Fashion Re-Commerce Platform,Seed Funding,,
897,2/6/2016,Limo,Consumer Internet,Bus Aggregator Mobile app,Private Equity,,"1,000,000"
898,3/6/2016,iCliniq,Consumer Internet,Doctor Consultation platform,Seed Funding,,
899,3/6/2016,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Seed Funding,,"75,000"
900,3/6/2016,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,Private Equity,,"2,000,000"
901,6/6/2016,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Seed Funding,,"448,000"
902,7/6/2016,CueMath,Education,K-12 Maths Learning Courses,Private Equity,,"4,000,000"
903,7/6/2016,KrazyBee,Consumer Internet,Student Micro-Loan platform,Private Equity,,"2,000,000"
904,7/6/2016,Intgrea,Technology,Post merger Integration Partners,Seed Funding,,"100,000"
905,7/6/2016,HelpShift,Technology,Mobile CRM Platform,Private Equity,,"23,000,000"
906,7/6/2016,CreditVidya,Technology,Credit Scoring Platform,Private Equity,,"1,000,000"
907,8/6/2016,Grey Campus,Consumer Internet,Online Learning Platform,Seed Funding,,"1,000,000"
908,8/6/2016,ListUp,eCommerce,Location based Classified Mobile app,Seed Funding,,"500,000"
909,8/6/2016,6Degree,Technology,Tech-enabled Fashion Talent platform,Seed Funding,,"200,000"
910,8/6/2016,Shopwati,Consumer Internet,Online Fashion Discussion Community,Seed Funding,,
911,8/6/2016,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Seed Funding,,
912,8/6/2016,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Private Equity,,"16,000,000"
913,8/6/2016,Wired Hub,Real Estate,Co-Working Spaces,Seed Funding,,
914,8/6/2016,MySeniorDoctor,Consumer Internet,Online medical support platform,Seed Funding,,"200,000"
915,9/6/2016,Teabox,eCommerce,Online Tea Store,Seed Funding,,
916,9/6/2016,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Seed Funding,,
917,9/6/2016,EPayLater,Technology,Fin-Tech Platform,Seed Funding,,"2,000,000"
918,10/6/2016,Kyazoonga,eCommerce,Online event ticketing Platform,Seed Funding,,
919,10/6/2016,Paytunes,Consumer Internet,Mobile based rewards platform,Private Equity,,"500,000"
920,10/6/2016,Kickstart Jobs,Technology,Entry level hiring platform,Seed Funding,,
921,10/6/2016,Freshee,FMCG,Household packaging & Storage product manufacturer,Private Equity,,
922,10/6/2016,MadRat Games,Technology,Wearable Gaming Platform,Seed Funding,,
923,11/6/2016,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,Private Equity,,
924,11/6/2016,AutoSense,Technology,Data Analytics based Customer Management Services,Private Equity,,
925,11/6/2016,Redsun Telematics,Consumer Internet,Internet of Things Platform,Private Equity,,
926,13/06/2016,KhanaGadi,Consumer Internet,Online Food Delivery for Train Travelers,Seed Funding,,
927,13/06/2016,Bombay Shirt Company,eCommerce,Online custom Shirt retailer,Private Equity,,"1,000,000"
928,13/06/2016,Matrubharti,Consumer Internet,e-Book Publisher,Seed Funding,,"30,000"
929,14/06/2016,EdTechReview,Consumer Internet,Education based online portal,Seed Funding,,
930,14/06/2016,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,Private Equity,,
